Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,26516.59,28603.77,33849.55,6.95,49245.09,65.0,1.57
BALANCED,5000,23363.45,24922.43,27615.04,16.63,43389.26,65.0,0.0
BALANCED,10000,21903.58,24162.21,26428.66,33.93,40678.09,65.0,0.0
BALANCED,20000,20733.91,22221.42,23878.84,69.24,38505.84,65.0,0.0
EXPLORATION,2000,20636.66,32248.11,35961.78,9.65,38325.22,65.0,24.98
EXPLORATION,5000,19877.59,21372.59,24223.75,25.98,36915.53,65.0,9.86
EXPLORATION,10000,18063.47,19840.32,23695.94,46.88,33546.44,65.0,15.52
EXPLORATION,20000,16794.5,20538.45,25096.52,97.23,31189.79,65.0,44.62
EXPLOITATION,2000,18285.63,24619.27,27031.47,79.64,33959.03,65.0,50.0
EXPLOITATION,5000,15599.69,16863.81,18454.61,185.01,28970.85,65.0,50.0
EXPLOITATION,10000,13669.5,14713.11,15961.07,353.66,25386.22,65.0,50.0
EXPLOITATION,20000,12386.42,13430.86,15594.39,804.63,23003.36,65.0,50.0
