Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,54855.1,58934.86,67214.51,3.34,127995.24,70.0,0.78
BALANCED,5000,46880.87,50832.75,57667.04,8.39,109388.69,70.0,0.4
BALANCED,10000,42566.21,45528.23,49665.65,17.91,99321.15,70.0,0.0
BALANCED,20000,42027.64,48544.16,55566.7,33.08,98064.49,70.0,0.9
EXPLORATION,2000,35839.37,39073.03,43884.68,4.65,83625.2,70.0,26.6
EXPLORATION,5000,31254.45,34130.55,40246.76,10.64,72927.04,70.0,50.0
EXPLORATION,10000,30960.56,33537.82,37663.64,22.04,72241.3,70.0,50.0
EXPLORATION,20000,25880.8,27975.13,30216.77,44.51,60388.52,70.0,12.48
EXPLOITATION,2000,27417.24,37495.58,40578.73,36.37,63973.57,70.0,50.0
EXPLOITATION,5000,23384.28,24778.15,26791.75,87.69,54563.31,70.0,50.0
EXPLOITATION,10000,20828.81,22248.24,23891.44,169.97,48600.55,70.0,50.0
EXPLOITATION,20000,19462.36,20877.07,21919.94,340.59,45412.18,70.0,50.0
