Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,1389053176.74,1502155402.48,1607353624.82,953.44,2579670185.37,65.0,0.64
BALANCED,5000,1359734880.04,1471810884.74,1546275250.88,2102.01,2525221920.07,65.0,1.59
BALANCED,10000,1148968880.96,1241817051.95,1336573830.01,4339.49,2133799350.36,65.0,2.29
BALANCED,20000,1051897976.29,1129770402.62,1214059703.66,9475.87,1953524813.11,65.0,1.82
EXPLORATION,2000,1466714050.76,1594123925.26,1740824873.97,913.3,2723897522.85,65.0,50.0
EXPLORATION,5000,1355483767.87,1452724242.37,1611994149.99,2263.57,2517326997.47,65.0,50.0
EXPLORATION,10000,1202193647.3,1316855685.42,1538783998.61,4513.11,2232645344.98,65.0,50.0
EXPLORATION,20000,1118031221.26,1199609707.76,1279541290.09,9697.79,2076343696.63,65.0,50.0
EXPLOITATION,2000,1449779769.55,1571898406.61,1721915089.63,847.18,2692448143.44,65.0,50.0
EXPLOITATION,5000,1195379827.78,1293690934.97,1378862449.81,1980.81,2219991108.73,65.0,50.0
EXPLOITATION,10000,1077958320.57,1154530445.81,1254667724.26,4356.31,2001922595.34,65.0,50.0
EXPLOITATION,20000,918919943.08,992250774.6,1072000116.23,7638.03,1706565608.58,65.0,0.0
