Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,296266.1,317877.58,350322.59,30.34,550208.48,65.0,1.12
BALANCED,5000,224354.22,240941.64,258620.28,68.34,416657.84,65.0,0.58
BALANCED,10000,167125.01,180257.24,201778.9,143.11,310375.01,65.0,0.61
BALANCED,20000,166224.63,180743.57,194598.51,273.43,308702.89,65.0,1.59
EXPLORATION,2000,162736.3,311203.45,337777.25,31.12,302224.57,65.0,50.0
EXPLORATION,5000,160992.03,239063.63,264313.34,81.38,298985.19,65.0,50.0
EXPLORATION,10000,162125.67,180173.3,199960.78,176.79,301090.53,65.0,50.0
EXPLORATION,20000,119747.86,128172.82,141680.11,314.5,222388.88,65.0,50.0
EXPLOITATION,2000,118571.77,258616.54,276256.96,1221.83,220204.72,65.0,50.0
EXPLOITATION,5000,128194.38,207303.73,230871.16,3243.92,238075.28,65.0,50.0
EXPLOITATION,10000,124166.43,157544.32,170478.3,6446.4,230594.8,65.0,50.0
EXPLOITATION,20000,106846.04,115814.99,125038.8,11563.7,198428.37,65.0,50.0
