Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,46008.35,49569.03,56991.17,6.47,107352.82,70.0,1.23
BALANCED,5000,38691.77,41991.42,45773.45,17.5,90280.81,70.0,0.57
BALANCED,10000,33652.33,36513.35,40027.27,33.54,78522.11,70.0,0.0
BALANCED,20000,31143.39,34505.06,47878.44,66.03,72667.91,70.0,1.06
EXPLORATION,2000,31299.87,36904.7,42015.41,8.04,73033.04,70.0,50.0
EXPLORATION,5000,27178.25,29769.15,34695.92,20.89,63415.91,70.0,50.0
EXPLORATION,10000,23968.83,26580.25,32765.59,48.01,55927.27,70.0,50.0
EXPLORATION,20000,23785.76,27104.95,31641.25,87.8,55500.1,70.0,8.32
EXPLOITATION,2000,23838.8,32500.91,35317.82,65.87,55623.86,70.0,50.0
EXPLOITATION,5000,21643.8,23432.54,25227.76,171.61,50502.2,70.0,50.0
EXPLOITATION,10000,20440.94,22108.81,24258.32,359.12,47695.53,70.0,50.0
EXPLOITATION,20000,16859.11,18104.66,20693.8,691.96,39337.92,70.0,50.0
