Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,954.18,960.02,1071.02,1.22,1437.97,60.1,0.2
BALANCED,5000,856.1,865.94,1016.55,3.04,1536.05,64.2,0.4
BALANCED,10000,796.77,816.13,972.09,6.1,1595.38,66.7,0.79
BALANCED,20000,796.77,823.71,823.71,12.26,1595.38,66.7,0.0
EXPLORATION,2000,796.77,881.09,957.19,1.67,1595.38,66.7,10.23
EXPLORATION,5000,723.93,743.22,838.38,4.18,1668.22,69.7,10.17
EXPLORATION,10000,654.02,669.14,752.34,8.44,1738.13,72.7,8.99
EXPLORATION,20000,654.02,698.25,773.73,16.86,1738.13,72.7,17.95
EXPLOITATION,2000,654.02,762.23,785.78,9.82,1738.13,72.7,74.65
EXPLOITATION,5000,628.27,631.1,680.07,24.53,1763.88,73.7,75.07
EXPLOITATION,10000,582.93,587.02,664.71,49.17,1809.22,75.6,74.63
EXPLOITATION,20000,582.93,590.55,590.55,94.82,1809.22,75.6,75.62
