Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,1203.01,1217.14,1332.8,1.47,1956.65,61.9,0.6
BALANCED,5000,1142.19,1146.26,1223.7,3.67,2017.47,63.9,0.2
BALANCED,10000,1001.48,1024.22,1196.63,7.36,2158.18,68.3,0.8
BALANCED,20000,1001.48,1072.24,1130.5,14.72,2158.18,68.3,0.2
EXPLORATION,2000,1001.48,1131.57,1192.05,1.84,2158.18,68.3,9.44
EXPLORATION,5000,983.04,1010.54,1129.8,4.62,2176.62,68.9,20.25
EXPLORATION,10000,805.5,814.66,918.37,9.24,2354.16,74.5,18.9
EXPLORATION,20000,787.23,790.6,854.52,18.51,2372.43,75.1,5.3
EXPLOITATION,2000,787.23,1044.59,1094.39,15.11,2372.43,75.1,100.47
EXPLOITATION,5000,772.98,773.75,788.37,38.14,2386.68,75.5,99.41
EXPLOITATION,10000,710.52,710.52,710.52,77.73,2449.14,77.5,99.96
EXPLOITATION,20000,694.41,694.69,700.13,152.36,2465.25,78.0,100.48
