Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,332575.21,354012.81,384629.6,14.01,617639.67,65.0,0.8
BALANCED,5000,264928.97,284877.77,304638.9,32.16,492010.95,65.0,0.37
BALANCED,10000,190263.05,204139.58,224021.8,67.48,353345.66,65.0,0.43
BALANCED,20000,182303.26,195324.72,210851.52,148.18,338563.21,65.0,1.12
EXPLORATION,2000,181285.5,340892.73,371482.93,15.9,336673.07,65.0,50.0
EXPLORATION,5000,174265.94,255054.01,279964.18,35.52,323636.75,65.0,50.0
EXPLORATION,10000,177293.17,193656.7,211783.23,76.24,329258.75,65.0,50.0
EXPLORATION,20000,144096.14,153428.51,167618.25,163.27,267607.12,65.0,49.53
EXPLOITATION,2000,145310.28,316466.99,329950.58,633.92,269861.94,65.0,50.0
EXPLOITATION,5000,133854.98,218489.15,237704.67,1473.24,248587.83,65.0,50.0
EXPLOITATION,10000,143568.59,180661.35,190235.74,2638.88,266627.38,65.0,50.0
EXPLOITATION,20000,125371.15,134387.0,145949.9,6228.45,232832.14,65.0,50.0
