Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,627.53,631.65,709.82,0.94,907.01,59.1,0.2
BALANCED,5000,607.24,607.24,607.24,2.25,927.3,60.4,0.0
BALANCED,10000,607.24,608.1,624.39,4.46,927.3,60.4,0.2
BALANCED,20000,607.24,614.09,744.26,8.94,927.3,60.4,0.2
EXPLORATION,2000,539.81,552.61,641.41,1.23,994.73,64.8,5.03
EXPLORATION,5000,529.46,560.52,638.65,3.1,1005.09,65.5,13.23
EXPLORATION,10000,527.97,555.94,710.97,6.17,1006.58,65.6,15.15
EXPLORATION,20000,500.9,514.85,569.99,12.33,1033.65,67.4,8.8
EXPLOITATION,2000,702.57,710.28,856.76,0.79,831.98,54.2,0.2
EXPLOITATION,5000,666.7,669.37,719.98,1.97,867.85,56.6,0.2
EXPLOITATION,10000,653.51,664.14,866.04,3.94,881.04,57.4,0.2
EXPLOITATION,20000,618.18,618.92,632.81,7.88,916.36,59.7,0.2
