Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,49669.94,53560.06,59214.75,3.53,115896.54,70.0,0.87
BALANCED,5000,44022.44,47145.34,52799.34,7.67,102719.02,70.0,0.38
BALANCED,10000,39094.71,41647.9,44964.61,16.63,91220.98,70.0,0.0
BALANCED,20000,34653.0,38115.58,50989.66,34.97,80856.99,70.0,0.78
EXPLORATION,2000,34045.16,39817.5,45109.95,3.89,79438.71,70.0,50.0
EXPLORATION,5000,31766.85,34260.35,39844.88,10.55,74122.64,70.0,36.69
EXPLORATION,10000,27893.17,30747.68,36867.41,19.51,65084.05,70.0,34.81
EXPLORATION,20000,25898.68,29017.14,32482.76,43.0,60430.25,70.0,5.63
EXPLOITATION,2000,27887.01,37477.31,40490.74,31.94,65069.69,70.0,50.0
EXPLOITATION,5000,24988.0,26919.69,28729.39,85.33,58305.34,70.0,50.0
EXPLOITATION,10000,22019.72,23338.96,25768.27,171.3,51379.35,70.0,50.0
EXPLOITATION,20000,19745.72,21063.02,24132.47,313.09,46073.34,70.0,50.0
