Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,663.67,721.33,880.39,11.25,995.51,60.0,0.71
BALANCED,5000,586.61,640.22,827.3,25.18,879.91,60.0,1.64
BALANCED,10000,543.89,606.67,789.38,58.04,815.83,60.0,2.8
BALANCED,20000,518.5,583.1,625.02,108.59,777.76,60.0,0.0
EXPLORATION,2000,553.71,661.28,774.81,15.08,830.56,60.0,43.24
EXPLORATION,5000,482.21,532.82,654.04,41.84,723.32,60.0,45.67
EXPLORATION,10000,462.65,514.4,619.65,78.39,693.97,60.0,34.53
EXPLORATION,20000,435.26,503.15,607.78,159.91,652.89,60.0,50.0
EXPLOITATION,2000,442.16,555.57,623.78,97.59,663.24,60.0,50.0
EXPLOITATION,5000,413.11,446.24,526.15,231.68,619.67,60.0,50.0
EXPLOITATION,10000,409.01,448.81,552.98,427.45,613.52,60.0,50.0
EXPLOITATION,20000,377.54,412.61,449.15,933.36,566.31,60.0,50.0
