Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,43759.21,48462.19,57883.21,11.99,102104.83,70.0,1.4
BALANCED,5000,36810.12,40388.45,45507.52,34.35,85890.29,70.0,0.65
BALANCED,10000,31341.11,34180.45,38525.46,69.36,73129.25,70.0,0.8
BALANCED,20000,29563.01,32090.81,41778.76,139.09,68980.36,70.0,0.71
EXPLORATION,2000,30588.71,33812.46,40330.02,16.21,71373.65,70.0,50.0
EXPLORATION,5000,24842.65,27511.7,34942.46,43.18,57966.18,70.0,50.0
EXPLORATION,10000,21466.73,23993.92,29249.86,92.12,50089.04,70.0,50.0
EXPLORATION,20000,21678.91,23838.73,28530.87,166.92,50584.13,70.0,50.0
EXPLOITATION,2000,41611.8,45627.74,53046.54,10.97,97094.21,70.0,1.48
EXPLOITATION,5000,35688.9,38831.81,45735.0,29.0,83274.11,70.0,0.52
EXPLOITATION,10000,35886.92,38823.26,44648.08,63.65,83736.15,70.0,1.17
EXPLOITATION,20000,32773.91,35677.16,38112.9,108.13,76472.46,70.0,0.0
