Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,861.26,942.68,1091.65,9.71,1599.48,65.0,0.65
BALANCED,5000,714.05,789.53,989.2,23.54,1326.1,65.0,2.27
BALANCED,10000,732.93,993.67,1353.61,53.46,1361.15,65.0,3.31
BALANCED,20000,687.6,743.63,810.86,96.3,1276.97,65.0,0.0
EXPLORATION,2000,688.68,762.36,905.17,12.96,1278.98,65.0,50.0
EXPLORATION,5000,617.35,680.0,931.9,31.47,1146.5,65.0,48.81
EXPLORATION,10000,595.81,654.51,843.76,67.5,1106.51,65.0,19.11
EXPLORATION,20000,591.15,677.66,787.35,150.89,1097.84,65.0,34.82
EXPLOITATION,2000,618.81,721.25,839.75,69.66,1149.22,65.0,50.0
EXPLOITATION,5000,562.2,612.93,692.19,190.91,1044.09,65.0,50.0
EXPLOITATION,10000,498.06,544.11,592.08,396.62,924.96,65.0,50.0
EXPLOITATION,20000,492.74,540.91,646.23,765.31,915.1,65.0,50.0
