Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,1308943275.36,1423152807.68,1506117008.19,1702.14,2430894654.24,65.0,0.78
BALANCED,5000,1141040409.75,1243892661.71,1309555168.35,4386.97,2119075046.67,65.0,2.46
BALANCED,10000,1050411028.59,1148751678.25,1257986358.71,8600.2,1950763338.8,65.0,2.95
BALANCED,20000,958464636.73,1035607805.37,1135660259.13,18630.42,1780005753.92,65.0,1.97
EXPLORATION,2000,1320751574.47,1440210223.39,1595270313.84,2028.2,2452824352.58,65.0,50.0
EXPLORATION,5000,1182171483.68,1291820090.51,1368829832.87,4901.0,2195461326.84,65.0,50.0
EXPLORATION,10000,1111291396.56,1220050822.85,1483559941.81,9744.29,2063826879.33,65.0,50.0
EXPLORATION,20000,1021690130.2,1097494108.9,1209679804.18,16543.2,1897424527.51,65.0,50.0
EXPLOITATION,2000,1227221975.1,1343653639.34,1446277092.3,1528.65,2279126525.18,65.0,50.0
EXPLOITATION,5000,1146201120.05,1242389754.97,1328048292.03,3543.27,2128659222.96,65.0,50.0
EXPLOITATION,10000,975373941.92,1052536185.31,1129302046.6,8047.76,1811408749.28,65.0,50.0
EXPLOITATION,20000,870372050.14,948521640.59,1007128364.64,16533.96,1616405235.97,65.0,0.0
