Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,1036.82,1111.25,1301.47,3.19,1555.22,60.0,1.32
BALANCED,5000,988.02,1068.6,1188.2,8.31,1482.02,60.0,0.36
BALANCED,10000,827.31,904.92,1106.28,15.91,1240.96,60.0,1.72
BALANCED,20000,855.08,973.63,1110.59,35.95,1282.63,60.0,0.36
EXPLORATION,2000,877.29,1064.21,1186.93,3.94,1315.94,60.0,25.27
EXPLORATION,5000,821.93,896.28,1060.88,11.36,1232.9,60.0,50.0
EXPLORATION,10000,705.7,766.74,923.36,23.26,1058.55,60.0,44.69
EXPLORATION,20000,672.63,727.11,841.25,45.65,1008.94,60.0,13.1
EXPLOITATION,2000,682.83,960.24,1073.03,33.29,1024.25,60.0,50.0
EXPLOITATION,5000,639.48,679.14,739.07,90.1,959.21,60.0,50.0
EXPLOITATION,10000,596.1,633.81,675.12,194.39,894.15,60.0,50.0
EXPLOITATION,20000,596.69,634.21,696.89,326.84,895.03,60.0,50.0
