Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,62460.82,62752.63,66108.98,1.45,91835.25,59.5,0.4
BALANCED,5000,53367.62,53600.68,58028.94,3.61,100928.46,65.4,0.2
BALANCED,10000,48050.78,48050.78,48050.78,7.26,106245.29,68.9,0.0
BALANCED,20000,48050.78,51986.38,54306.02,14.36,106245.29,68.9,0.4
EXPLORATION,2000,43099.93,44114.78,45873.58,1.84,111196.14,72.1,10.97
EXPLORATION,5000,38109.11,38885.14,43163.13,4.58,116186.97,75.3,22.22
EXPLORATION,10000,36587.57,37192.04,39451.64,9.22,117708.5,76.3,21.1
EXPLORATION,20000,31281.45,31446.56,32606.63,18.45,123014.62,79.7,4.91
EXPLOITATION,2000,31281.45,40093.96,40093.96,14.86,123014.62,79.7,99.51
EXPLOITATION,5000,27523.77,27523.77,27523.77,37.45,126772.3,82.2,98.95
EXPLOITATION,10000,23620.62,23620.62,23620.62,74.54,130675.45,84.7,98.42
EXPLOITATION,20000,23104.89,23104.89,23104.89,148.99,131191.18,85.0,99.02
