Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,381866.76,382254.64,387023.94,6.29,349295.1,47.8,0.4
BALANCED,5000,304924.15,304931.09,305063.01,15.25,426237.72,58.3,0.2
BALANCED,10000,231779.41,232001.32,236217.55,30.74,499382.45,68.3,0.2
BALANCED,20000,214782.39,215434.46,219272.76,61.3,516379.48,70.6,0.6
EXPLORATION,2000,214782.39,379294.42,380873.75,6.93,516379.48,70.6,26.92
EXPLORATION,5000,214782.39,294560.84,299751.21,17.13,516379.48,70.6,74.94
EXPLORATION,10000,214782.39,220965.88,226662.75,34.33,516379.48,70.6,75.91
EXPLORATION,20000,165438.31,165784.08,168974.73,68.21,565723.55,77.4,20.38
EXPLOITATION,2000,165438.31,334886.68,334905.04,257.02,565723.55,77.4,441.44
EXPLOITATION,5000,165438.31,250426.06,252003.36,630.98,565723.55,77.4,439.16
EXPLOITATION,10000,165438.31,194986.86,195016.02,1268.94,565723.55,77.4,441.49
EXPLOITATION,20000,143181.11,143181.11,143181.11,2498.28,587980.76,80.4,441.53
