Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,31492.28,33968.86,39555.0,3.75,58485.66,65.0,1.12
BALANCED,5000,24781.21,26252.06,28921.16,8.68,46022.25,65.0,0.0
BALANCED,10000,24749.5,27040.74,29681.24,19.43,45963.36,65.0,0.0
BALANCED,20000,22626.8,24024.76,26485.27,34.1,42021.2,65.0,0.0
EXPLORATION,2000,21916.36,34239.03,36555.76,4.6,40701.81,65.0,17.58
EXPLORATION,5000,23045.18,25007.02,27580.79,11.98,42798.19,65.0,7.29
EXPLORATION,10000,19738.63,21195.94,25495.11,22.24,36657.46,65.0,11.15
EXPLORATION,20000,18977.81,22988.32,28023.84,48.97,35244.5,65.0,34.74
EXPLOITATION,2000,19110.47,25852.87,28503.11,40.92,35490.88,65.0,50.0
EXPLOITATION,5000,17902.33,19042.57,20452.35,98.26,33247.19,65.0,50.0
EXPLOITATION,10000,15696.3,16832.91,18066.71,166.59,29150.28,65.0,50.0
EXPLOITATION,20000,13211.86,14073.17,16241.96,337.38,24536.32,65.0,50.0
