Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,492.72,538.82,658.45,4.03,739.08,60.0,0.57
BALANCED,5000,437.04,477.77,644.39,10.44,655.56,60.0,1.3
BALANCED,10000,439.26,484.03,569.4,21.36,658.89,60.0,2.57
BALANCED,20000,446.64,489.0,621.95,40.17,669.96,60.0,1.09
EXPLOITATION,2000,479.55,530.22,649.32,4.25,662.24,58.0,0.79
EXPLOITATION,5000,441.81,471.49,673.25,9.03,610.12,58.0,0.82
EXPLOITATION,10000,451.38,478.78,543.31,19.78,623.34,58.0,0.61
EXPLOITATION,20000,441.98,497.11,627.95,36.39,610.35,58.0,0.57
EXPLORATION,2000,453.53,476.63,615.11,4.78,842.27,65.0,6.6
EXPLORATION,5000,387.66,430.45,605.76,14.42,719.94,65.0,17.96
EXPLORATION,10000,416.84,456.92,560.03,27.88,774.13,65.0,21.86
EXPLORATION,20000,389.07,476.43,641.51,47.98,722.55,65.0,18.11
