Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,39759.64,43676.32,49472.21,13.63,92772.5,70.0,1.65
BALANCED,5000,36445.59,39715.32,43732.87,30.33,85039.71,70.0,0.79
BALANCED,10000,30596.7,33274.45,36703.75,62.62,71392.3,70.0,0.0
BALANCED,20000,28306.93,31409.7,42244.25,130.32,66049.5,70.0,1.41
EXPLORATION,2000,28405.66,34178.59,38890.55,17.49,66279.87,70.0,50.0
EXPLORATION,5000,25866.67,28638.68,33847.8,41.94,60355.57,70.0,50.0
EXPLORATION,10000,20922.97,23590.72,28551.97,85.07,48820.27,70.0,50.0
EXPLORATION,20000,21635.2,24754.83,28404.83,160.17,50482.12,70.0,10.22
EXPLOITATION,2000,21845.6,29808.44,32651.99,129.9,50973.06,70.0,50.0
EXPLOITATION,5000,20864.37,22594.78,24768.21,317.43,48683.53,70.0,50.0
EXPLOITATION,10000,18387.96,19834.49,21259.09,695.25,42905.23,70.0,50.0
EXPLOITATION,20000,15305.96,16857.37,19462.46,1364.52,35713.91,70.0,50.0
