Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,804.5,867.04,1035.63,3.05,1206.75,60.0,0.38
BALANCED,5000,743.42,800.0,1006.12,7.23,1115.13,60.0,0.78
BALANCED,10000,664.81,731.86,909.8,13.91,997.21,60.0,1.85
BALANCED,20000,710.85,779.26,830.1,26.87,1066.28,60.0,0.0
EXPLORATION,2000,703.05,837.66,961.4,3.58,1054.57,60.0,26.7
EXPLORATION,5000,627.87,690.86,852.79,9.91,941.8,60.0,22.01
EXPLORATION,10000,573.55,625.04,761.85,21.12,860.32,60.0,20.07
EXPLORATION,20000,534.54,605.55,726.33,37.01,801.81,60.0,44.63
EXPLOITATION,2000,568.01,703.79,786.92,21.52,852.02,60.0,50.0
EXPLOITATION,5000,555.68,601.01,675.36,55.56,833.51,60.0,50.0
EXPLOITATION,10000,470.89,509.83,619.24,107.71,706.34,60.0,50.0
EXPLOITATION,20000,498.05,538.81,564.19,199.56,747.08,60.0,50.0
