Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,46210.99,49893.63,61126.74,7.26,107825.64,70.0,1.26
BALANCED,5000,41700.75,44981.01,51813.02,17.34,97301.75,70.0,0.59
BALANCED,10000,32972.86,35442.33,40711.52,31.09,76936.68,70.0,0.55
BALANCED,20000,32860.42,35642.44,44092.64,68.24,76674.32,70.0,0.52
EXPLORATION,2000,34396.37,37520.64,44563.01,8.85,80258.19,70.0,49.17
EXPLORATION,5000,26923.3,29643.12,36524.96,19.96,62821.02,70.0,50.0
EXPLORATION,10000,22526.85,24963.99,30367.2,42.91,52562.66,70.0,50.0
EXPLORATION,20000,23965.6,26036.63,30551.93,79.74,55919.73,70.0,50.0
EXPLOITATION,2000,49332.28,53217.19,61597.38,6.59,115108.64,70.0,1.06
EXPLOITATION,5000,41424.53,45214.73,51404.09,14.02,96657.23,70.0,0.43
EXPLOITATION,10000,36809.85,39951.62,46036.01,29.58,85889.65,70.0,1.05
EXPLOITATION,20000,35752.72,38264.21,41750.03,65.65,83423.02,70.0,0.0
