Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,1097.76,1188.53,1320.21,2.58,2038.7,65.0,0.44
BALANCED,5000,890.22,963.66,1218.9,6.09,1653.27,65.0,1.2
BALANCED,10000,939.94,1254.06,1686.92,13.59,1745.59,65.0,1.6
BALANCED,20000,915.93,980.94,1050.78,24.47,1701.01,65.0,0.0
EXPLORATION,2000,859.28,935.66,1135.42,3.38,1595.81,65.0,50.0
EXPLORATION,5000,767.59,834.13,1096.24,8.35,1425.52,65.0,31.7
EXPLORATION,10000,723.18,792.95,984.8,15.61,1343.04,65.0,11.56
EXPLORATION,20000,735.48,841.32,974.58,31.78,1365.89,65.0,20.35
EXPLOITATION,2000,764.56,880.74,1010.67,17.47,1419.9,65.0,50.0
EXPLOITATION,5000,703.36,759.26,853.72,51.43,1306.24,65.0,50.0
EXPLOITATION,10000,645.31,690.22,725.61,88.55,1198.44,65.0,50.0
EXPLOITATION,20000,640.18,685.68,832.62,184.35,1188.9,65.0,50.0
