Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,946.43,1034.45,1221.43,7.32,1419.64,60.0,1.88
BALANCED,5000,880.29,946.63,1070.57,16.97,1320.43,60.0,0.54
BALANCED,10000,729.4,810.7,1031.02,34.02,1094.1,60.0,2.39
BALANCED,20000,743.27,864.37,972.71,67.33,1114.91,60.0,0.54
EXPLORATION,2000,755.72,915.6,1049.26,9.53,1133.58,60.0,31.15
EXPLORATION,5000,716.59,801.42,957.15,20.36,1074.88,60.0,50.0
EXPLORATION,10000,580.54,634.15,779.85,43.66,870.81,60.0,50.0
EXPLORATION,20000,583.43,637.44,736.73,97.22,875.15,60.0,19.32
EXPLOITATION,2000,561.58,806.31,914.95,73.06,842.37,60.0,50.0
EXPLOITATION,5000,587.91,629.13,694.33,181.38,881.86,60.0,50.0
EXPLOITATION,10000,552.92,592.89,642.33,349.12,829.38,60.0,50.0
EXPLOITATION,20000,540.1,579.78,636.88,747.27,810.16,60.0,50.0
