Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,446.72,488.31,595.32,8.69,670.08,60.0,0.65
BALANCED,5000,411.36,453.51,638.18,19.11,617.04,60.0,1.65
BALANCED,10000,390.71,428.2,516.11,43.04,586.07,60.0,2.74
BALANCED,20000,371.17,411.7,511.2,84.27,556.76,60.0,1.52
EXPLOITATION,2000,434.18,498.03,604.99,7.27,599.58,58.0,0.19
EXPLOITATION,5000,406.49,462.51,650.17,22.71,561.34,58.0,1.74
EXPLOITATION,10000,396.22,421.55,519.47,42.24,547.16,58.0,1.91
EXPLOITATION,20000,384.92,408.38,528.1,87.94,531.56,58.0,0.39
EXPLORATION,2000,404.79,442.54,587.99,11.9,751.75,65.0,12.99
EXPLORATION,5000,354.17,427.54,650.19,23.44,657.74,65.0,6.27
EXPLORATION,10000,332.55,407.68,517.27,54.28,617.6,65.0,10.34
EXPLORATION,20000,348.0,373.14,498.46,97.21,646.29,65.0,23.25
