Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,46089.35,50075.92,57081.79,7.45,107541.81,70.0,1.26
BALANCED,5000,41464.01,44759.03,51906.06,18.09,96749.35,70.0,0.61
BALANCED,10000,37380.08,39900.71,42509.02,35.76,87220.19,70.0,0.0
BALANCED,20000,37830.71,44309.9,49507.67,63.39,88271.66,70.0,1.19
EXPLORATION,2000,33529.31,36931.56,41848.78,9.54,78235.05,70.0,33.29
EXPLORATION,5000,29428.26,32217.29,38483.16,20.43,68665.95,70.0,50.0
EXPLORATION,10000,27621.59,30424.51,34041.87,40.53,64450.37,70.0,50.0
EXPLORATION,20000,23741.94,25581.03,29327.55,82.24,55397.86,70.0,16.43
EXPLOITATION,2000,22883.89,31445.81,33257.04,75.67,53395.75,70.0,50.0
EXPLOITATION,5000,21009.47,22480.9,24336.62,174.21,49022.09,70.0,50.0
EXPLOITATION,10000,17961.6,19321.63,20611.04,382.5,41910.4,70.0,50.0
EXPLOITATION,20000,17128.86,18447.35,19642.94,725.44,39967.33,70.0,50.0
