Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,1918959844.18,1919007103.55,1919905031.54,188.28,227378318.64,10.6,0.2
BALANCED,5000,1747818086.59,1747915567.36,1748319549.48,472.09,398520076.23,18.6,0.6
BALANCED,10000,1559237439.55,1559260269.27,1559466367.48,939.04,587100723.27,27.4,0.87
BALANCED,20000,1347016817.49,1347093019.43,1347894442.1,1872.29,799321345.33,37.2,0.6
EXPLORATION,2000,1927988898.96,1937634058.32,1959326840.88,202.75,218349263.86,10.2,6620.66
EXPLORATION,5000,1796874249.78,1797335005.14,1798044568.17,491.47,349463913.04,16.3,6203.49
EXPLORATION,10000,1651260937.35,1672130066.14,1835823064.55,969.55,495077225.47,23.1,7544.98
EXPLORATION,20000,1447935504.69,1448564319.8,1453294054.43,1951.44,698402658.13,32.5,2396.68
EXPLOITATION,2000,1844475269.1,1844657581.16,1844910522.09,166.36,301862893.72,14.1,5214.79
EXPLOITATION,5000,1628422523.88,1628935610.22,1629174698.0,417.48,517915638.94,24.1,7115.18
EXPLOITATION,10000,1440290955.58,1440367546.38,1440386206.45,835.23,706047207.24,32.9,1902.55
EXPLOITATION,20000,1271341588.56,1271341588.56,1271341588.56,1677.67,874996574.26,40.8,0.0
