Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,545.62,589.34,723.72,1.9,818.43,60.0,0.4
BALANCED,5000,501.71,549.41,736.43,4.81,752.57,60.0,0.82
BALANCED,10000,505.81,547.76,640.11,11.28,758.72,60.0,1.63
BALANCED,20000,499.73,543.04,664.12,22.74,749.59,60.0,0.9
EXPLOITATION,2000,555.26,598.59,695.71,1.84,766.79,58.0,0.16
EXPLOITATION,5000,503.96,543.27,756.02,5.41,695.95,58.0,0.11
EXPLOITATION,10000,497.54,538.84,616.15,12.85,687.09,58.0,1.25
EXPLOITATION,20000,502.33,550.2,684.31,26.03,693.69,58.0,1.2
EXPLORATION,2000,498.67,520.09,681.2,2.22,926.09,65.0,19.73
EXPLORATION,5000,437.42,511.25,665.72,5.58,812.36,65.0,18.0
EXPLORATION,10000,470.7,520.27,608.77,12.93,874.15,65.0,24.14
EXPLORATION,20000,465.11,517.5,651.13,31.65,863.77,65.0,12.57
