Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,839.52,921.67,1108.41,13.61,1259.28,60.0,1.92
BALANCED,5000,763.03,822.38,981.26,36.32,1144.55,60.0,0.8
BALANCED,10000,667.9,734.14,955.59,73.76,1001.85,60.0,2.63
BALANCED,20000,680.05,782.72,914.04,142.62,1020.08,60.0,0.66
EXPLORATION,2000,679.32,833.07,939.79,18.19,1018.98,60.0,40.08
EXPLORATION,5000,649.2,724.16,887.08,39.96,973.8,60.0,50.0
EXPLORATION,10000,574.86,632.26,768.27,85.31,862.29,60.0,50.0
EXPLORATION,20000,520.58,565.04,667.24,161.1,780.87,60.0,21.47
EXPLOITATION,2000,512.35,739.05,826.36,150.28,768.53,60.0,50.0
EXPLOITATION,5000,503.07,543.17,608.23,330.83,754.6,60.0,50.0
EXPLOITATION,10000,504.2,547.45,592.01,755.82,756.29,60.0,50.0
EXPLOITATION,20000,457.58,492.38,540.6,1380.29,686.37,60.0,50.0
