Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,7924249.82,8546065.93,8887780.45,75.14,14716463.96,65.0,2.63
BALANCED,5000,6276365.76,6695634.06,7071668.0,204.61,11656107.83,65.0,0.0
BALANCED,10000,5767260.23,6127651.12,6606663.62,377.41,10710626.15,65.0,0.43
BALANCED,20000,4593721.23,4909097.94,5248617.61,804.43,8531196.57,65.0,0.41
EXPLORATION,2000,9762593.29,10404201.21,11367901.56,79.06,18130530.4,65.0,50.0
EXPLORATION,5000,8058565.91,8711144.44,9492773.94,198.5,14965908.12,65.0,50.0
EXPLORATION,10000,6593390.99,7058706.91,7745827.69,427.37,12244868.98,65.0,50.0
EXPLORATION,20000,5020321.78,5351258.74,5816894.99,858.85,9323454.74,65.0,50.0
EXPLOITATION,2000,8457220.14,9107912.63,9879463.01,64.78,15706265.97,65.0,50.0
EXPLOITATION,5000,7337518.06,7910356.33,8272675.34,167.53,13626819.25,65.0,0.42
EXPLOITATION,10000,6351282.31,6785562.84,7222568.33,309.07,11795238.57,65.0,0.0
EXPLOITATION,20000,5768510.25,6137382.6,6784214.05,666.03,10712947.6,65.0,0.29
