Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,5934547.41,6475791.84,6976837.7,322.82,11021302.34,65.0,4.53
BALANCED,5000,5375840.63,5778406.25,6405720.66,761.06,9983704.03,65.0,0.0
BALANCED,10000,4271326.49,4604381.09,4924520.97,1670.27,7932463.48,65.0,0.74
BALANCED,20000,3958630.55,4297564.94,4634777.61,3220.63,7351742.45,65.0,0.68
EXPLORATION,2000,7672276.1,8367742.41,9194158.48,307.53,14248512.76,65.0,50.0
EXPLORATION,5000,6446969.16,7057839.08,7704644.59,863.28,11972942.73,65.0,50.0
EXPLORATION,10000,5590629.12,6064550.62,6589932.24,1744.03,10382596.93,65.0,50.0
EXPLORATION,20000,4292420.81,4682964.14,4965339.77,3261.76,7971638.66,65.0,50.0
EXPLOITATION,2000,7077823.02,7648504.0,8171866.56,279.47,13144528.47,65.0,50.0
EXPLOITATION,5000,6068126.6,6570286.78,7210578.23,658.44,11269377.98,65.0,0.52
EXPLOITATION,10000,5419689.46,5859221.22,6526962.89,1303.98,10065137.57,65.0,0.0
EXPLOITATION,20000,4820539.94,5183388.5,5719576.31,2657.79,8952431.31,65.0,0.72
