Algorithm,Generations,Best_Cost,Avg_Cost,Worst_Cost,Runtime_Seconds,Improvement,Improvement_Percent,Population_Diversity
BALANCED,2000,52552.99,57026.52,68023.7,3.44,122623.65,70.0,0.83
BALANCED,5000,44053.39,47391.06,52048.19,8.65,102791.23,70.0,0.44
BALANCED,10000,36931.18,39566.63,44395.71,17.95,86172.74,70.0,0.42
BALANCED,20000,34940.81,37504.51,47801.89,32.63,81528.55,70.0,0.45
EXPLORATION,2000,39157.09,43214.13,50522.85,4.56,91366.53,70.0,43.0
EXPLORATION,5000,30422.52,33636.57,40786.57,11.21,70985.89,70.0,50.0
EXPLORATION,10000,27332.63,30316.0,35834.1,20.05,63776.14,70.0,50.0
EXPLORATION,20000,26650.32,29034.18,34237.32,43.35,62184.09,70.0,44.37
EXPLOITATION,2000,50998.19,54540.1,61645.33,2.88,118995.77,70.0,0.73
EXPLOITATION,5000,44128.16,47137.47,55323.38,7.74,102965.71,70.0,0.3
EXPLOITATION,10000,42937.26,46143.54,52574.35,14.14,100186.93,70.0,0.68
EXPLOITATION,20000,41064.15,43987.6,47491.29,32.11,95816.36,70.0,0.0
